perf_id,channel_id
2024-03-01|CP0001|CH009|P024|MK002|PR075|CT0485,CH009
2024-03-01|CP0001|CH006|P024|MK002|PR075|CT0202,CH006
2024-04-01|CP0001|CH006|P024|MK002|PR075|CT0202,CH006
2024-05-01|CP0001|CH009|P024|MK002|PR075|CT0485,CH009
2024-07-01|CP0001|CH006|P024|MK002|PR075|CT0202,CH006
2025-04-01|CP0002|CH003|P014|MK007|PR019|CT0208,CH003
2025-04-01|CP0002|CH009|P014|MK007|PR019|CT0208,CH009
2025-05-01|CP0002|CH003|P014|MK007|PR019|CT0208,CH003
2025-06-01|CP0002|CH003|P014|MK007|PR019|CT0132,CH003
2025-06-01|CP0002|CH006|P014|MK007|PR019|CT0208,CH006
2025-07-01|CP0002|CH003|P014|MK007|PR019|CT0132,CH003
2025-07-01|CP0002|CH009|P014|MK007|PR019|CT0208,CH009
2025-04-01|CP0003|CH007|P025|MK005|PR006|CT0475,CH007
2025-06-01|CP0003|CH007|P025|MK005|PR006|CT0125,CH007
2025-09-01|CP0003|CH004|P025|MK005|PR006|CT0125,CH004
2025-01-01|CP0004|CH008|P038|MK012|PR062|CT0739,CH008
2025-01-01|CP0004|CH001|P038|MK012|PR062|CT0460,CH001
2025-02-01|CP0004|CH008|P038|MK012|PR062|CT0739,CH008
2025-03-01|CP0004|CH001|P038|MK012|PR062|CT0526,CH001
2025-04-01|CP0004|CH008|P038|MK012|PR062|CT0372,CH008
2025-04-01|CP0004|CH001|P038|MK012|PR062|CT0739,CH001
2025-01-01|CP0005|CH006|P013|MK009|PR046|CT0849,CH006
2025-03-01|CP0005|CH006|P013|MK009|PR046|CT0657,CH006
2025-05-01|CP0005|CH006|P013|MK009|PR046|CT0849,CH006
2025-05-01|CP0005|CH001|P013|MK009|PR046|CT0763,CH001
2024-10-01|CP0006|CH006|P037|MK012|PR014|CT0133,CH006
2024-10-01|CP0006|CH007|P037|MK012|PR014|CT0133,CH007
