perf_id,content_id
2024-03-01|CP0001|CH009|P024|MK002|PR075|CT0485,CT0485
2024-03-01|CP0001|CH006|P024|MK002|PR075|CT0202,CT0202
2024-04-01|CP0001|CH006|P024|MK002|PR075|CT0202,CT0202
2024-05-01|CP0001|CH009|P024|MK002|PR075|CT0485,CT0485
2024-07-01|CP0001|CH006|P024|MK002|PR075|CT0202,CT0202
2025-04-01|CP0002|CH003|P014|MK007|PR019|CT0208,CT0208
2025-04-01|CP0002|CH009|P014|MK007|PR019|CT0208,CT0208
2025-05-01|CP0002|CH003|P014|MK007|PR019|CT0208,CT0208
2025-06-01|CP0002|CH003|P014|MK007|PR019|CT0132,CT0132
2025-06-01|CP0002|CH006|P014|MK007|PR019|CT0208,CT0208
2025-07-01|CP0002|CH003|P014|MK007|PR019|CT0132,CT0132
2025-07-01|CP0002|CH009|P014|MK007|PR019|CT0208,CT0208
2025-04-01|CP0003|CH007|P025|MK005|PR006|CT0475,CT0475
2025-06-01|CP0003|CH007|P025|MK005|PR006|CT0125,CT0125
2025-09-01|CP0003|CH004|P025|MK005|PR006|CT0125,CT0125
2025-01-01|CP0004|CH008|P038|MK012|PR062|CT0739,CT0739
2025-01-01|CP0004|CH001|P038|MK012|PR062|CT0460,CT0460
2025-02-01|CP0004|CH008|P038|MK012|PR062|CT0739,CT0739
2025-03-01|CP0004|CH001|P038|MK012|PR062|CT0526,CT0526
2025-04-01|CP0004|CH008|P038|MK012|PR062|CT0372,CT0372
2025-04-01|CP0004|CH001|P038|MK012|PR062|CT0739,CT0739
2025-01-01|CP0005|CH006|P013|MK009|PR046|CT0849,CT0849
2025-03-01|CP0005|CH006|P013|MK009|PR046|CT0657,CT0657
2025-05-01|CP0005|CH006|P013|MK009|PR046|CT0849,CT0849
2025-05-01|CP0005|CH001|P013|MK009|PR046|CT0763,CT0763
2024-10-01|CP0006|CH006|P037|MK012|PR014|CT0133,CT0133
2024-10-01|CP0006|CH007|P037|MK012|PR014|CT0133,CT0133
2025-01-01|CP0006|CH007|P037|MK012|PR014|CT0133,CT0133
2025-01-01|CP0006|CH006|P037|MK012|PR014|CT0133,CT0133
2025-02-01|CP0007|CH008|P053|MK001|PR068|CT0154,CT0154
2025-03-01|CP0007|CH008|P053|MK001|PR068|CT0791,CT0791
2025-04-01|CP0007|CH008|P053|MK001|PR068|CT0791,CT0791
2025-01-01|CP0008|CH002|P016|MK012|PR074|CT0764,CT0764
2025-03-01|CP0008|CH002|P016|MK012|PR074|CT0764,CT0764
2025-04-01|CP0008|CH002|P016|MK012|PR074|CT0254,CT0254
2024-04-01|CP0009|CH004|P036|MK010|PR034|CT0389,CT0389
2024-06-01|CP0009|CH004|P036|MK010|PR034|CT0389,CT0389
2025-05-01|CP0010|CH002|P021|MK009|PR054|CT0463,CT0463
2025-06-01|CP0010|CH002|P021|MK009|PR054|CT0862,CT0862
2025-07-01|CP0010|CH002|P021|MK009|PR054|CT0463,CT0463
2025-08-01|CP0010|CH002|P021|MK009|PR054|CT0001,CT0001
2025-09-01|CP0010|CH002|P021|MK009|PR054|CT0001,CT0001
2025-10-01|CP0010|CH002|P021|MK009|PR054|CT0463,CT0463
2024-10-01|CP0011|CH005|P003|MK012|PR049|CT0291,CT0291
2025-01-01|CP0011|CH005|P003|MK012|PR049|CT0155,CT0155
2025-02-01|CP0011|CH003|P003|MK012|PR049|CT0155,CT0155
2024-07-01|CP0012|CH010|P036|MK010|PR011|CT0881,CT0881
2024-07-01|CP0012|CH007|P036|MK010|PR011|CT0120,CT0120
2024-08-01|CP0012|CH007|P036|MK010|PR011|CT0881,CT0881
2024-09-01|CP0012|CH010|P036|MK010|PR011|CT0111,CT0111
2024-10-01|CP0012|CH010|P036|MK010|PR011|CT0120,CT0120
2024-10-01|CP0012|CH007|P036|MK010|PR011|CT0111,CT0111
2024-11-01|CP0012|CH010|P036|MK010|PR011|CT0120,CT0120
2024-10-01|CP0013|CH009|P060|MK011|PR055|CT0615,CT0615
2024-11-01|CP0013|CH009|P060|MK011|PR055|CT0615,CT0615
2024-12-01|CP0013|CH009|P060|MK011|PR055|CT0348,CT0348
2024-12-01|CP0013|CH001|P060|MK011|PR055|CT0615,CT0615
2025-01-01|CP0013|CH001|P060|MK011|PR055|CT0618,CT0618
2025-01-01|CP0013|CH009|P060|MK011|PR055|CT0618,CT0618
2025-01-01|CP0014|CH002|P030|MK007|PR036|CT0588,CT0588
2025-02-01|CP0014|CH007|P030|MK007|PR036|CT0118,CT0118
2025-02-01|CP0014|CH002|P030|MK007|PR036|CT0588,CT0588
2025-03-01|CP0014|CH007|P030|MK007|PR036|CT0034,CT0034
2025-04-01|CP0014|CH002|P030|MK007|PR036|CT0118,CT0118
2025-05-01|CP0014|CH007|P030|MK007|PR036|CT0550,CT0550
2025-05-01|CP0014|CH002|P030|MK007|PR036|CT0118,CT0118
2025-06-01|CP0014|CH007|P030|MK007|PR036|CT0034,CT0034
2025-01-01|CP0015|CH003|P031|MK007|PR038|CT0371,CT0371
2025-01-01|CP0015|CH010|P031|MK007|PR038|CT0686,CT0686
2025-02-01|CP0015|CH010|P031|MK007|PR038|CT0700,CT0700
2025-03-01|CP0015|CH003|P031|MK007|PR038|CT0700,CT0700
2025-04-01|CP0015|CH010|P031|MK007|PR038|CT0700,CT0700
2025-05-01|CP0015|CH010|P031|MK007|PR038|CT0700,CT0700
2025-06-01|CP0015|CH003|P031|MK007|PR038|CT0700,CT0700
2024-02-01|CP0016|CH008|P001|MK010|PR009|CT0237,CT0237
2024-04-01|CP0016|CH008|P001|MK010|PR009|CT0237,CT0237
2024-05-01|CP0016|CH008|P001|MK010|PR009|CT0854,CT0854
2024-11-01|CP0017|CH002|P009|MK003|PR045|CT0795,CT0795
2024-12-01|CP0017|CH006|P009|MK003|PR045|CT0795,CT0795
2025-01-01|CP0017|CH006|P009|MK003|PR045|CT0236,CT0236
2025-01-01|CP0017|CH009|P009|MK003|PR045|CT0468,CT0468
2025-02-01|CP0017|CH002|P009|MK003|PR045|CT0236,CT0236
2025-02-01|CP0017|CH009|P009|MK003|PR045|CT0236,CT0236
2025-02-01|CP0018|CH007|P009|MK003|PR022|CT0871,CT0871
2025-03-01|CP0018|CH003|P009|MK003|PR022|CT0276,CT0276
2025-04-01|CP0018|CH007|P009|MK003|PR022|CT0871,CT0871
2025-05-01|CP0018|CH003|P009|MK003|PR022|CT0871,CT0871
2025-05-01|CP0018|CH007|P009|MK003|PR022|CT0303,CT0303
2025-02-01|CP0019|CH006|P047|MK011|PR057|CT0064,CT0064
2025-03-01|CP0019|CH010|P047|MK011|PR057|CT0064,CT0064
2025-03-01|CP0019|CH006|P047|MK011|PR057|CT0064,CT0064
2025-04-01|CP0019|CH010|P047|MK011|PR057|CT0064,CT0064
2025-04-01|CP0019|CH006|P047|MK011|PR057|CT0064,CT0064
