perf_id,market_id
2024-03-01|CP0001|CH009|P024|MK002|PR075|CT0485,MK002
2024-03-01|CP0001|CH006|P024|MK002|PR075|CT0202,MK002
2024-04-01|CP0001|CH006|P024|MK002|PR075|CT0202,MK002
2024-05-01|CP0001|CH009|P024|MK002|PR075|CT0485,MK002
2024-07-01|CP0001|CH006|P024|MK002|PR075|CT0202,MK002
2025-04-01|CP0002|CH003|P014|MK007|PR019|CT0208,MK007
2025-04-01|CP0002|CH009|P014|MK007|PR019|CT0208,MK007
2025-05-01|CP0002|CH003|P014|MK007|PR019|CT0208,MK007
2025-06-01|CP0002|CH003|P014|MK007|PR019|CT0132,MK007
2025-06-01|CP0002|CH006|P014|MK007|PR019|CT0208,MK007
2025-07-01|CP0002|CH003|P014|MK007|PR019|CT0132,MK007
2025-07-01|CP0002|CH009|P014|MK007|PR019|CT0208,MK007
2025-04-01|CP0003|CH007|P025|MK005|PR006|CT0475,MK005
2025-06-01|CP0003|CH007|P025|MK005|PR006|CT0125,MK005
2025-09-01|CP0003|CH004|P025|MK005|PR006|CT0125,MK005
2025-01-01|CP0004|CH008|P038|MK012|PR062|CT0739,MK012
2025-01-01|CP0004|CH001|P038|MK012|PR062|CT0460,MK012
2025-02-01|CP0004|CH008|P038|MK012|PR062|CT0739,MK012
2025-03-01|CP0004|CH001|P038|MK012|PR062|CT0526,MK012
2025-04-01|CP0004|CH008|P038|MK012|PR062|CT0372,MK012
2025-04-01|CP0004|CH001|P038|MK012|PR062|CT0739,MK012
2025-01-01|CP0005|CH006|P013|MK009|PR046|CT0849,MK009
2025-03-01|CP0005|CH006|P013|MK009|PR046|CT0657,MK009
2025-05-01|CP0005|CH006|P013|MK009|PR046|CT0849,MK009
2025-05-01|CP0005|CH001|P013|MK009|PR046|CT0763,MK009
2024-10-01|CP0006|CH006|P037|MK012|PR014|CT0133,MK012
2024-10-01|CP0006|CH007|P037|MK012|PR014|CT0133,MK012
2025-01-01|CP0006|CH007|P037|MK012|PR014|CT0133,MK012
2025-01-01|CP0006|CH006|P037|MK012|PR014|CT0133,MK012
2025-02-01|CP0007|CH008|P053|MK001|PR068|CT0154,MK001
2025-03-01|CP0007|CH008|P053|MK001|PR068|CT0791,MK001
2025-04-01|CP0007|CH008|P053|MK001|PR068|CT0791,MK001
2025-01-01|CP0008|CH002|P016|MK012|PR074|CT0764,MK012
2025-03-01|CP0008|CH002|P016|MK012|PR074|CT0764,MK012
2025-04-01|CP0008|CH002|P016|MK012|PR074|CT0254,MK012
2024-04-01|CP0009|CH004|P036|MK010|PR034|CT0389,MK010
2024-06-01|CP0009|CH004|P036|MK010|PR034|CT0389,MK010
2025-05-01|CP0010|CH002|P021|MK009|PR054|CT0463,MK009
2025-06-01|CP0010|CH002|P021|MK009|PR054|CT0862,MK009
2025-07-01|CP0010|CH002|P021|MK009|PR054|CT0463,MK009
2025-08-01|CP0010|CH002|P021|MK009|PR054|CT0001,MK009
2025-09-01|CP0010|CH002|P021|MK009|PR054|CT0001,MK009
2025-10-01|CP0010|CH002|P021|MK009|PR054|CT0463,MK009
2024-10-01|CP0011|CH005|P003|MK012|PR049|CT0291,MK012
2025-01-01|CP0011|CH005|P003|MK012|PR049|CT0155,MK012
2025-02-01|CP0011|CH003|P003|MK012|PR049|CT0155,MK012
2024-07-01|CP0012|CH010|P036|MK010|PR011|CT0881,MK010
2024-07-01|CP0012|CH007|P036|MK010|PR011|CT0120,MK010
2024-08-01|CP0012|CH007|P036|MK010|PR011|CT0881,MK010
2024-09-01|CP0012|CH010|P036|MK010|PR011|CT0111,MK010
2024-10-01|CP0012|CH010|P036|MK010|PR011|CT0120,MK010
2024-10-01|CP0012|CH007|P036|MK010|PR011|CT0111,MK010
2024-11-01|CP0012|CH010|P036|MK010|PR011|CT0120,MK010
2024-10-01|CP0013|CH009|P060|MK011|PR055|CT0615,MK011
2024-11-01|CP0013|CH009|P060|MK011|PR055|CT0615,MK011
2024-12-01|CP0013|CH009|P060|MK011|PR055|CT0348,MK011
2024-12-01|CP0013|CH001|P060|MK011|PR055|CT0615,MK011
2025-01-01|CP0013|CH001|P060|MK011|PR055|CT0618,MK011
2025-01-01|CP0013|CH009|P060|MK011|PR055|CT0618,MK011
2025-01-01|CP0014|CH002|P030|MK007|PR036|CT0588,MK007
2025-02-01|CP0014|CH007|P030|MK007|PR036|CT0118,MK007
2025-02-01|CP0014|CH002|P030|MK007|PR036|CT0588,MK007
2025-03-01|CP0014|CH007|P030|MK007|PR036|CT0034,MK007
2025-04-01|CP0014|CH002|P030|MK007|PR036|CT0118,MK007
2025-05-01|CP0014|CH007|P030|MK007|PR036|CT0550,MK007
2025-05-01|CP0014|CH002|P030|MK007|PR036|CT0118,MK007
2025-06-01|CP0014|CH007|P030|MK007|PR036|CT0034,MK007
2025-01-01|CP0015|CH003|P031|MK007|PR038|CT0371,MK007
2025-01-01|CP0015|CH010|P031|MK007|PR038|CT0686,MK007
2025-02-01|CP0015|CH010|P031|MK007|PR038|CT0700,MK007
2025-03-01|CP0015|CH003|P031|MK007|PR038|CT0700,MK007
2025-04-01|CP0015|CH010|P031|MK007|PR038|CT0700,MK007
2025-05-01|CP0015|CH010|P031|MK007|PR038|CT0700,MK007
2025-06-01|CP0015|CH003|P031|MK007|PR038|CT0700,MK007
2024-02-01|CP0016|CH008|P001|MK010|PR009|CT0237,MK010
2024-04-01|CP0016|CH008|P001|MK010|PR009|CT0237,MK010
2024-05-01|CP0016|CH008|P001|MK010|PR009|CT0854,MK010
2024-11-01|CP0017|CH002|P009|MK003|PR045|CT0795,MK003
2024-12-01|CP0017|CH006|P009|MK003|PR045|CT0795,MK003
2025-01-01|CP0017|CH006|P009|MK003|PR045|CT0236,MK003
2025-01-01|CP0017|CH009|P009|MK003|PR045|CT0468,MK003
2025-02-01|CP0017|CH002|P009|MK003|PR045|CT0236,MK003
2025-02-01|CP0017|CH009|P009|MK003|PR045|CT0236,MK003
2025-02-01|CP0018|CH007|P009|MK003|PR022|CT0871,MK003
2025-03-01|CP0018|CH003|P009|MK003|PR022|CT0276,MK003
2025-04-01|CP0018|CH007|P009|MK003|PR022|CT0871,MK003
2025-05-01|CP0018|CH003|P009|MK003|PR022|CT0871,MK003
2025-05-01|CP0018|CH007|P009|MK003|PR022|CT0303,MK003
2025-02-01|CP0019|CH006|P047|MK011|PR057|CT0064,MK011
2025-03-01|CP0019|CH010|P047|MK011|PR057|CT0064,MK011
2025-03-01|CP0019|CH006|P047|MK011|PR057|CT0064,MK011
2025-04-01|CP0019|CH010|P047|MK011|PR057|CT0064,MK011
2025-04-01|CP0019|CH006|P047|MK011|PR057|CT0064,MK011
2025-05-01|CP0019|CH010|P047|MK011|PR057|CT0064,MK011
2024-10-01|CP0020|CH004|P023|MK007|PR015|CT0217,MK007
2024-10-01|CP0020|CH001|P023|MK007|PR015|CT0217,MK007
2024-11-01|CP0020|CH005|P023|MK007|PR015|CT0217,MK007
2024-11-01|CP0020|CH001|P023|MK007|PR015|CT0217,MK007
2024-12-01|CP0020|CH001|P023|MK007|PR015|CT0217,MK007
2024-12-01|CP0020|CH004|P023|MK007|PR015|CT0217,MK007
2024-05-01|CP0021|CH004|P023|MK007|PR013|CT0870,MK007
2024-06-01|CP0021|CH004|P023|MK007|PR013|CT0667,MK007
2024-07-01|CP0021|CH004|P023|MK007|PR013|CT0490,MK007
2024-08-01|CP0021|CH004|P023|MK007|PR013|CT0490,MK007
2025-01-01|CP0022|CH001|P056|MK012|PR034|CT0482,MK012
2025-02-01|CP0022|CH002|P056|MK012|PR034|CT0482,MK012
2025-09-01|CP0022|CH002|P056|MK012|PR034|CT0482,MK012
2025-09-01|CP0022|CH001|P056|MK012|PR034|CT0482,MK012
2024-05-01|CP0023|CH003|P008|MK006|PR052|CT0835,MK006
2024-06-01|CP0023|CH002|P008|MK006|PR052|CT0616,MK006
2024-07-01|CP0023|CH002|P008|MK006|PR052|CT0835,MK006
2024-08-01|CP0023|CH002|P008|MK006|PR052|CT0616,MK006
2024-09-01|CP0023|CH002|P008|MK006|PR052|CT0516,MK006
2024-10-01|CP0023|CH003|P008|MK006|PR052|CT0516,MK006
2024-11-01|CP0023|CH002|P008|MK006|PR052|CT0516,MK006
2024-07-01|CP0024|CH010|P004|MK008|PR005|CT0047,MK008
2024-08-01|CP0024|CH008|P004|MK008|PR005|CT0608,MK008
2024-09-01|CP0024|CH008|P004|MK008|PR005|CT0047,MK008
2024-09-01|CP0025|CH003|P021|MK009|PR064|CT0398,MK009
2024-10-01|CP0025|CH010|P021|MK009|PR064|CT0398,MK009
2024-09-01|CP0026|CH005|P046|MK001|PR039|CT0407,MK001
2024-10-01|CP0026|CH007|P046|MK001|PR039|CT0545,MK001
2025-01-01|CP0027|CH009|P004|MK008|PR037|CT0761,MK008
2025-02-01|CP0027|CH006|P004|MK008|PR037|CT0002,MK008
2025-03-01|CP0027|CH006|P004|MK008|PR037|CT0759,MK008
2025-05-01|CP0027|CH006|P004|MK008|PR037|CT0002,MK008
2024-09-01|CP0028|CH008|P006|MK008|PR051|CT0673,MK008
2024-09-01|CP0028|CH010|P006|MK008|PR051|CT0599,MK008
2024-10-01|CP0028|CH008|P006|MK008|PR051|CT0673,MK008
2024-11-01|CP0028|CH010|P006|MK008|PR051|CT0599,MK008
2024-12-01|CP0028|CH008|P006|MK008|PR051|CT0646,MK008
2024-01-01|CP0029|CH001|P020|MK001|PR003|CT0842,MK001
2024-01-01|CP0029|CH009|P020|MK001|PR003|CT0842,MK001
2024-02-01|CP0029|CH009|P020|MK001|PR003|CT0842,MK001
2024-03-01|CP0029|CH009|P020|MK001|PR003|CT0842,MK001
2024-03-01|CP0029|CH001|P020|MK001|PR003|CT0842,MK001
2024-04-01|CP0029|CH009|P020|MK001|PR003|CT0842,MK001
2024-05-01|CP0029|CH001|P020|MK001|PR003|CT0842,MK001
2024-11-01|CP0030|CH001|P001|MK010|PR039|CT0542,MK010
2024-12-01|CP0030|CH001|P001|MK010|PR039|CT0542,MK010
2024-12-01|CP0030|CH005|P001|MK010|PR039|CT0542,MK010
2025-01-01|CP0030|CH001|P001|MK010|PR039|CT0542,MK010
2025-02-01|CP0030|CH005|P001|MK010|PR039|CT0542,MK010
2025-02-01|CP0030|CH001|P001|MK010|PR039|CT0542,MK010
2025-02-01|CP0031|CH003|P031|MK007|PR022|CT0794,MK007
2025-03-01|CP0031|CH003|P031|MK007|PR022|CT0794,MK007
2025-03-01|CP0031|CH006|P031|MK007|PR022|CT0618,MK007
2025-04-01|CP0031|CH006|P031|MK007|PR022|CT0618,MK007
2024-04-01|CP0032|CH007|P016|MK012|PR069|CT0348,MK012
2024-04-01|CP0032|CH003|P016|MK012|PR069|CT0176,MK012
2024-05-01|CP0032|CH003|P016|MK012|PR069|CT0760,MK012
2024-12-01|CP0033|CH005|P017|MK009|PR019|CT0801,MK009
2025-01-01|CP0033|CH005|P017|MK009|PR019|CT0811,MK009
2025-02-01|CP0033|CH005|P017|MK009|PR019|CT0769,MK009
2025-02-01|CP0033|CH002|P017|MK009|PR019|CT0811,MK009
2024-07-01|CP0034|CH003|P005|MK004|PR057|CT0066,MK004
2024-08-01|CP0034|CH003|P005|MK004|PR057|CT0066,MK004
2024-09-01|CP0034|CH003|P005|MK004|PR057|CT0066,MK004
2024-10-01|CP0034|CH003|P005|MK004|PR057|CT0066,MK004
2024-11-01|CP0034|CH003|P005|MK004|PR057|CT0066,MK004
2024-12-01|CP0034|CH003|P005|MK004|PR057|CT0066,MK004
2024-07-01|CP0035|CH006|P048|MK005|PR073|CT0219,MK005
2024-08-01|CP0035|CH006|P048|MK005|PR073|CT0006,MK005
2024-08-01|CP0035|CH007|P048|MK005|PR073|CT0219,MK005
2024-09-01|CP0035|CH007|P048|MK005|PR073|CT0219,MK005
2024-09-01|CP0035|CH006|P048|MK005|PR073|CT0030,MK005
2024-10-01|CP0035|CH007|P048|MK005|PR073|CT0474,MK005
2025-03-01|CP0036|CH002|P021|MK009|PR057|CT0112,MK009
2025-03-01|CP0036|CH007|P021|MK009|PR057|CT0112,MK009
2025-04-01|CP0036|CH002|P021|MK009|PR057|CT0626,MK009
2025-04-01|CP0036|CH007|P021|MK009|PR057|CT0112,MK009
2025-05-01|CP0036|CH002|P021|MK009|PR057|CT0112,MK009
2025-02-01|CP0037|CH005|P055|MK001|PR016|CT0700,MK001
2025-02-01|CP0037|CH010|P055|MK001|PR016|CT0700,MK001
2025-04-01|CP0037|CH005|P055|MK001|PR016|CT0700,MK001
2025-05-01|CP0037|CH005|P055|MK001|PR016|CT0700,MK001
2025-06-01|CP0037|CH002|P055|MK001|PR016|CT0373,MK001
2024-06-01|CP0038|CH007|P040|MK006|PR021|CT0366,MK006
2024-07-01|CP0038|CH007|P040|MK006|PR021|CT0454,MK006
2024-08-01|CP0038|CH002|P040|MK006|PR021|CT0366,MK006
2024-09-01|CP0038|CH002|P040|MK006|PR021|CT0834,MK006
2024-09-01|CP0038|CH007|P040|MK006|PR021|CT0454,MK006
2024-10-01|CP0038|CH007|P040|MK006|PR021|CT0454,MK006
2024-11-01|CP0038|CH007|P040|MK006|PR021|CT0299,MK006
2024-11-01|CP0038|CH002|P040|MK006|PR021|CT0366,MK006
2024-12-01|CP0038|CH007|P040|MK006|PR021|CT0299,MK006
2025-01-01|CP0038|CH007|P040|MK006|PR021|CT0366,MK006
2024-11-01|CP0039|CH010|P014|MK007|PR006|CT0662,MK007
2024-12-01|CP0039|CH010|P014|MK007|PR006|CT0527,MK007
2024-10-01|CP0040|CH001|P002|MK012|PR051|CT0080,MK012
2024-10-01|CP0040|CH005|P002|MK012|PR051|CT0080,MK012
2024-11-01|CP0040|CH005|P002|MK012|PR051|CT0080,MK012
2024-12-01|CP0040|CH001|P002|MK012|PR051|CT0080,MK012
2025-01-01|CP0040|CH005|P002|MK012|PR051|CT0080,MK012
2025-01-01|CP0040|CH001|P002|MK012|PR051|CT0080,MK012
2025-02-01|CP0040|CH001|P002|MK012|PR051|CT0080,MK012
2025-03-01|CP0040|CH005|P002|MK012|PR051|CT0080,MK012
2025-03-01|CP0040|CH001|P002|MK012|PR051|CT0080,MK012
2025-04-01|CP0040|CH005|P002|MK012|PR051|CT0080,MK012
2025-04-01|CP0040|CH001|P002|MK012|PR051|CT0080,MK012
2025-05-01|CP0040|CH001|P002|MK012|PR051|CT0080,MK012
2025-05-01|CP0041|CH008|P055|MK001|PR009|CT0013,MK001
2025-05-01|CP0041|CH002|P055|MK001|PR009|CT0013,MK001
2025-06-01|CP0041|CH009|P055|MK001|PR009|CT0489,MK001
2025-06-01|CP0041|CH008|P055|MK001|PR009|CT0013,MK001
2025-07-01|CP0041|CH009|P055|MK001|PR009|CT0340,MK001
2025-08-01|CP0041|CH002|P055|MK001|PR009|CT0077,MK001
2025-08-01|CP0041|CH008|P055|MK001|PR009|CT0077,MK001
2024-08-01|CP0042|CH005|P013|MK009|PR021|CT0374,MK009
2024-09-01|CP0042|CH005|P013|MK009|PR021|CT0374,MK009
2025-04-01|CP0043|CH001|P019|MK005|PR054|CT0421,MK005
2025-05-01|CP0043|CH001|P019|MK005|PR054|CT0327,MK005
2025-06-01|CP0043|CH001|P019|MK005|PR054|CT0421,MK005
2025-04-01|CP0044|CH009|P044|MK005|PR017|CT0399,MK005
2025-05-01|CP0044|CH009|P044|MK005|PR017|CT0563,MK005
2025-07-01|CP0044|CH009|P044|MK005|PR017|CT0563,MK005
2025-08-01|CP0044|CH009|P044|MK005|PR017|CT0399,MK005
2024-08-01|CP0045|CH009|P005|MK004|PR002|CT0523,MK004
2024-09-01|CP0045|CH009|P005|MK004|PR002|CT0244,MK004
2025-01-01|CP0046|CH001|P055|MK001|PR054|CT0230,MK001
2025-01-01|CP0046|CH003|P055|MK001|PR054|CT0230,MK001
2025-03-01|CP0046|CH003|P055|MK001|PR054|CT0230,MK001
2025-05-01|CP0046|CH001|P055|MK001|PR054|CT0230,MK001
2024-11-01|CP0047|CH002|P029|MK009|PR064|CT0176,MK009
2024-12-01|CP0047|CH002|P029|MK009|PR064|CT0728,MK009
2025-01-01|CP0048|CH001|P018|MK005|PR069|CT0159,MK005
2025-02-01|CP0048|CH007|P018|MK005|PR069|CT0364,MK005
2025-02-01|CP0048|CH002|P018|MK005|PR069|CT0364,MK005
2025-03-01|CP0049|CH003|P031|MK007|PR025|CT0277,MK007
2025-04-01|CP0049|CH005|P031|MK007|PR025|CT0267,MK007
2025-05-01|CP0049|CH005|P031|MK007|PR025|CT0587,MK007
2025-06-01|CP0049|CH003|P031|MK007|PR025|CT0587,MK007
2025-06-01|CP0049|CH005|P031|MK007|PR025|CT0277,MK007
2025-07-01|CP0049|CH005|P031|MK007|PR025|CT0627,MK007
