perf_id,persona_id
2024-03-01|CP0001|CH009|P024|MK002|PR075|CT0485,P024
2024-03-01|CP0001|CH006|P024|MK002|PR075|CT0202,P024
2024-04-01|CP0001|CH006|P024|MK002|PR075|CT0202,P024
2024-05-01|CP0001|CH009|P024|MK002|PR075|CT0485,P024
2024-07-01|CP0001|CH006|P024|MK002|PR075|CT0202,P024
2025-04-01|CP0002|CH003|P014|MK007|PR019|CT0208,P014
2025-04-01|CP0002|CH009|P014|MK007|PR019|CT0208,P014
2025-05-01|CP0002|CH003|P014|MK007|PR019|CT0208,P014
2025-06-01|CP0002|CH003|P014|MK007|PR019|CT0132,P014
2025-06-01|CP0002|CH006|P014|MK007|PR019|CT0208,P014
2025-07-01|CP0002|CH003|P014|MK007|PR019|CT0132,P014
2025-07-01|CP0002|CH009|P014|MK007|PR019|CT0208,P014
2025-04-01|CP0003|CH007|P025|MK005|PR006|CT0475,P025
2025-06-01|CP0003|CH007|P025|MK005|PR006|CT0125,P025
2025-09-01|CP0003|CH004|P025|MK005|PR006|CT0125,P025
2025-01-01|CP0004|CH008|P038|MK012|PR062|CT0739,P038
2025-01-01|CP0004|CH001|P038|MK012|PR062|CT0460,P038
2025-02-01|CP0004|CH008|P038|MK012|PR062|CT0739,P038
2025-03-01|CP0004|CH001|P038|MK012|PR062|CT0526,P038
2025-04-01|CP0004|CH008|P038|MK012|PR062|CT0372,P038
2025-04-01|CP0004|CH001|P038|MK012|PR062|CT0739,P038
2025-01-01|CP0005|CH006|P013|MK009|PR046|CT0849,P013
2025-03-01|CP0005|CH006|P013|MK009|PR046|CT0657,P013
2025-05-01|CP0005|CH006|P013|MK009|PR046|CT0849,P013
2025-05-01|CP0005|CH001|P013|MK009|PR046|CT0763,P013
2024-10-01|CP0006|CH006|P037|MK012|PR014|CT0133,P037
2024-10-01|CP0006|CH007|P037|MK012|PR014|CT0133,P037
2025-01-01|CP0006|CH007|P037|MK012|PR014|CT0133,P037
2025-01-01|CP0006|CH006|P037|MK012|PR014|CT0133,P037
2025-02-01|CP0007|CH008|P053|MK001|PR068|CT0154,P053
2025-03-01|CP0007|CH008|P053|MK001|PR068|CT0791,P053
2025-04-01|CP0007|CH008|P053|MK001|PR068|CT0791,P053
2025-01-01|CP0008|CH002|P016|MK012|PR074|CT0764,P016
2025-03-01|CP0008|CH002|P016|MK012|PR074|CT0764,P016
2025-04-01|CP0008|CH002|P016|MK012|PR074|CT0254,P016
2024-04-01|CP0009|CH004|P036|MK010|PR034|CT0389,P036
2024-06-01|CP0009|CH004|P036|MK010|PR034|CT0389,P036
2025-05-01|CP0010|CH002|P021|MK009|PR054|CT0463,P021
2025-06-01|CP0010|CH002|P021|MK009|PR054|CT0862,P021
2025-07-01|CP0010|CH002|P021|MK009|PR054|CT0463,P021
2025-08-01|CP0010|CH002|P021|MK009|PR054|CT0001,P021
2025-09-01|CP0010|CH002|P021|MK009|PR054|CT0001,P021
2025-10-01|CP0010|CH002|P021|MK009|PR054|CT0463,P021
2024-10-01|CP0011|CH005|P003|MK012|PR049|CT0291,P003
2025-01-01|CP0011|CH005|P003|MK012|PR049|CT0155,P003
2025-02-01|CP0011|CH003|P003|MK012|PR049|CT0155,P003
2024-07-01|CP0012|CH010|P036|MK010|PR011|CT0881,P036
2024-07-01|CP0012|CH007|P036|MK010|PR011|CT0120,P036
2024-08-01|CP0012|CH007|P036|MK010|PR011|CT0881,P036
2024-09-01|CP0012|CH010|P036|MK010|PR011|CT0111,P036
2024-10-01|CP0012|CH010|P036|MK010|PR011|CT0120,P036
2024-10-01|CP0012|CH007|P036|MK010|PR011|CT0111,P036
2024-11-01|CP0012|CH010|P036|MK010|PR011|CT0120,P036
2024-10-01|CP0013|CH009|P060|MK011|PR055|CT0615,P060
2024-11-01|CP0013|CH009|P060|MK011|PR055|CT0615,P060
2024-12-01|CP0013|CH009|P060|MK011|PR055|CT0348,P060
2024-12-01|CP0013|CH001|P060|MK011|PR055|CT0615,P060
2025-01-01|CP0013|CH001|P060|MK011|PR055|CT0618,P060
2025-01-01|CP0013|CH009|P060|MK011|PR055|CT0618,P060
2025-01-01|CP0014|CH002|P030|MK007|PR036|CT0588,P030
2025-02-01|CP0014|CH007|P030|MK007|PR036|CT0118,P030
2025-02-01|CP0014|CH002|P030|MK007|PR036|CT0588,P030
2025-03-01|CP0014|CH007|P030|MK007|PR036|CT0034,P030
2025-04-01|CP0014|CH002|P030|MK007|PR036|CT0118,P030
2025-05-01|CP0014|CH007|P030|MK007|PR036|CT0550,P030
2025-05-01|CP0014|CH002|P030|MK007|PR036|CT0118,P030
2025-06-01|CP0014|CH007|P030|MK007|PR036|CT0034,P030
2025-01-01|CP0015|CH003|P031|MK007|PR038|CT0371,P031
2025-01-01|CP0015|CH010|P031|MK007|PR038|CT0686,P031
2025-02-01|CP0015|CH010|P031|MK007|PR038|CT0700,P031
2025-03-01|CP0015|CH003|P031|MK007|PR038|CT0700,P031
2025-04-01|CP0015|CH010|P031|MK007|PR038|CT0700,P031
2025-05-01|CP0015|CH010|P031|MK007|PR038|CT0700,P031
2025-06-01|CP0015|CH003|P031|MK007|PR038|CT0700,P031
2024-02-01|CP0016|CH008|P001|MK010|PR009|CT0237,P001
2024-04-01|CP0016|CH008|P001|MK010|PR009|CT0237,P001
2024-05-01|CP0016|CH008|P001|MK010|PR009|CT0854,P001
2024-11-01|CP0017|CH002|P009|MK003|PR045|CT0795,P009
2024-12-01|CP0017|CH006|P009|MK003|PR045|CT0795,P009
2025-01-01|CP0017|CH006|P009|MK003|PR045|CT0236,P009
2025-01-01|CP0017|CH009|P009|MK003|PR045|CT0468,P009
2025-02-01|CP0017|CH002|P009|MK003|PR045|CT0236,P009
2025-02-01|CP0017|CH009|P009|MK003|PR045|CT0236,P009
2025-02-01|CP0018|CH007|P009|MK003|PR022|CT0871,P009
2025-03-01|CP0018|CH003|P009|MK003|PR022|CT0276,P009
2025-04-01|CP0018|CH007|P009|MK003|PR022|CT0871,P009
2025-05-01|CP0018|CH003|P009|MK003|PR022|CT0871,P009
2025-05-01|CP0018|CH007|P009|MK003|PR022|CT0303,P009
2025-02-01|CP0019|CH006|P047|MK011|PR057|CT0064,P047
2025-03-01|CP0019|CH010|P047|MK011|PR057|CT0064,P047
2025-03-01|CP0019|CH006|P047|MK011|PR057|CT0064,P047
2025-04-01|CP0019|CH010|P047|MK011|PR057|CT0064,P047
2025-04-01|CP0019|CH006|P047|MK011|PR057|CT0064,P047
2025-05-01|CP0019|CH010|P047|MK011|PR057|CT0064,P047
2024-10-01|CP0020|CH004|P023|MK007|PR015|CT0217,P023
2024-10-01|CP0020|CH001|P023|MK007|PR015|CT0217,P023
