perf_id,sku
2024-03-01|CP0001|CH009|P024|MK002|PR075|CT0485,PR075
2024-03-01|CP0001|CH006|P024|MK002|PR075|CT0202,PR075
2024-04-01|CP0001|CH006|P024|MK002|PR075|CT0202,PR075
2024-05-01|CP0001|CH009|P024|MK002|PR075|CT0485,PR075
2024-07-01|CP0001|CH006|P024|MK002|PR075|CT0202,PR075
2025-04-01|CP0002|CH003|P014|MK007|PR019|CT0208,PR019
2025-04-01|CP0002|CH009|P014|MK007|PR019|CT0208,PR019
2025-05-01|CP0002|CH003|P014|MK007|PR019|CT0208,PR019
2025-06-01|CP0002|CH003|P014|MK007|PR019|CT0132,PR019
2025-06-01|CP0002|CH006|P014|MK007|PR019|CT0208,PR019
2025-07-01|CP0002|CH003|P014|MK007|PR019|CT0132,PR019
2025-07-01|CP0002|CH009|P014|MK007|PR019|CT0208,PR019
2025-04-01|CP0003|CH007|P025|MK005|PR006|CT0475,PR006
2025-06-01|CP0003|CH007|P025|MK005|PR006|CT0125,PR006
2025-09-01|CP0003|CH004|P025|MK005|PR006|CT0125,PR006
2025-01-01|CP0004|CH008|P038|MK012|PR062|CT0739,PR062
2025-01-01|CP0004|CH001|P038|MK012|PR062|CT0460,PR062
2025-02-01|CP0004|CH008|P038|MK012|PR062|CT0739,PR062
2025-03-01|CP0004|CH001|P038|MK012|PR062|CT0526,PR062
2025-04-01|CP0004|CH008|P038|MK012|PR062|CT0372,PR062
2025-04-01|CP0004|CH001|P038|MK012|PR062|CT0739,PR062
2025-01-01|CP0005|CH006|P013|MK009|PR046|CT0849,PR046
2025-03-01|CP0005|CH006|P013|MK009|PR046|CT0657,PR046
2025-05-01|CP0005|CH006|P013|MK009|PR046|CT0849,PR046
2025-05-01|CP0005|CH001|P013|MK009|PR046|CT0763,PR046
2024-10-01|CP0006|CH006|P037|MK012|PR014|CT0133,PR014
2024-10-01|CP0006|CH007|P037|MK012|PR014|CT0133,PR014
2025-01-01|CP0006|CH007|P037|MK012|PR014|CT0133,PR014
2025-01-01|CP0006|CH006|P037|MK012|PR014|CT0133,PR014
2025-02-01|CP0007|CH008|P053|MK001|PR068|CT0154,PR068
2025-03-01|CP0007|CH008|P053|MK001|PR068|CT0791,PR068
2025-04-01|CP0007|CH008|P053|MK001|PR068|CT0791,PR068
2025-01-01|CP0008|CH002|P016|MK012|PR074|CT0764,PR074
2025-03-01|CP0008|CH002|P016|MK012|PR074|CT0764,PR074
2025-04-01|CP0008|CH002|P016|MK012|PR074|CT0254,PR074
2024-04-01|CP0009|CH004|P036|MK010|PR034|CT0389,PR034
2024-06-01|CP0009|CH004|P036|MK010|PR034|CT0389,PR034
2025-05-01|CP0010|CH002|P021|MK009|PR054|CT0463,PR054
2025-06-01|CP0010|CH002|P021|MK009|PR054|CT0862,PR054
2025-07-01|CP0010|CH002|P021|MK009|PR054|CT0463,PR054
2025-08-01|CP0010|CH002|P021|MK009|PR054|CT0001,PR054
2025-09-01|CP0010|CH002|P021|MK009|PR054|CT0001,PR054
2025-10-01|CP0010|CH002|P021|MK009|PR054|CT0463,PR054
