perf_id,as_of,currency,impressions,clicks,spend,leads,opps,customers,revenue,ctr,cpl,cac,roas
2024-03-01|CP0001|CH009|P024|MK002|PR075|CT0485,2024-03-01 00:00:00,USD,23887,537,22189.12,19,3,1,104467.97,0.022481,1167.85,22189.12,4.708
2024-03-01|CP0001|CH006|P024|MK002|PR075|CT0202,2024-03-01 00:00:00,EUR,13987,505,21874.28,28,4,1,137661.53,0.036105,781.22,21874.28,6.293
2024-04-01|CP0001|CH006|P024|MK002|PR075|CT0202,2024-04-01 00:00:00,USD,56994,2096,108423.55,126,22,6,700497.01,0.036776,860.5,18070.59,6.461
2024-05-01|CP0001|CH009|P024|MK002|PR075|CT0485,2024-05-01 00:00:00,EUR,43603,697,37010.06,24,4,1,123900.1,0.015985,1542.09,37010.06,3.348
2024-07-01|CP0001|CH006|P024|MK002|PR075|CT0202,2024-07-01 00:00:00,USD,16373,397,18828.13,20,3,1,139192.89,0.024247,941.41,18828.13,7.393
2025-04-01|CP0002|CH003|P014|MK007|PR019|CT0208,2025-04-01 00:00:00,INR,28972,1446,26924.6,112,15,2,531716.07,0.04991,240.4,13462.3,19.748
2025-04-01|CP0002|CH009|P014|MK007|PR019|CT0208,2025-04-01 00:00:00,INR,44583,1136,18703.31,37,5,1,267433.69,0.025481,505.49,18703.31,14.299
2025-05-01|CP0002|CH003|P014|MK007|PR019|CT0208,2025-05-01 00:00:00,INR,20471,1202,21339.96,92,11,2,465938.51,0.058717,231.96,10669.98,21.834
2025-06-01|CP0002|CH003|P014|MK007|PR019|CT0132,2025-06-01 00:00:00,INR,32571,2039,36732.29,109,13,2,534290.31,0.062602,336.99,18366.15,14.546
2025-06-01|CP0002|CH006|P014|MK007|PR019|CT0208,2025-06-01 00:00:00,INR,33191,761,15010.36,51,7,1,271968.55,0.022928,294.32,15010.36,18.119
2025-07-01|CP0002|CH003|P014|MK007|PR019|CT0132,2025-07-01 00:00:00,INR,22042,1011,20642.55,86,11,2,606985.16,0.045867,240.03,10321.27,29.405
2025-07-01|CP0002|CH009|P014|MK007|PR019|CT0208,2025-07-01 00:00:00,INR,55361,1092,17429.24,31,4,1,242840.98,0.019725,562.23,17429.24,13.933
2025-04-01|CP0003|CH007|P025|MK005|PR006|CT0475,2025-04-01 00:00:00,USD,1103,144,5810.25,57,7,1,145753.47,0.130553,101.93,5810.25,25.086
2025-06-01|CP0003|CH007|P025|MK005|PR006|CT0125,2025-06-01 00:00:00,EUR,3495,319,13465.31,98,13,2,318237.95,0.091273,137.4,6732.65,23.634
2025-09-01|CP0003|CH004|P025|MK005|PR006|CT0125,2025-09-01 00:00:00,EUR,95281,4550,197246.87,208,25,3,514646.42,0.047753,948.3,65748.96,2.609
2025-01-01|CP0004|CH008|P038|MK012|PR062|CT0739,2025-01-01 00:00:00,USD,10244,385,14490.57,21,4,1,197321.44,0.037583,690.03,14490.57,13.617
2025-01-01|CP0004|CH001|P038|MK012|PR062|CT0460,2025-01-01 00:00:00,USD,175654,3496,140872.24,56,9,2,375579.49,0.019903,2515.58,70436.12,2.666
2025-02-01|CP0004|CH008|P038|MK012|PR062|CT0739,2025-02-01 00:00:00,USD,13104,648,27888.44,29,5,1,220745.23,0.049451,961.67,27888.44,7.915
2025-03-01|CP0004|CH001|P038|MK012|PR062|CT0526,2025-03-01 00:00:00,USD,208306,3674,142388.74,78,12,3,648498.74,0.017638,1825.5,47462.91,4.554
2025-04-01|CP0004|CH008|P038|MK012|PR062|CT0372,2025-04-01 00:00:00,EUR,30963,1379,56566.74,69,10,3,554634.75,0.044537,819.81,18855.58,9.805
2025-04-01|CP0004|CH001|P038|MK012|PR062|CT0739,2025-04-01 00:00:00,EUR,111424,1803,67006.34,34,5,1,216287.77,0.016181,1970.77,67006.34,3.228
2025-01-01|CP0005|CH006|P013|MK009|PR046|CT0849,2025-01-01 00:00:00,USD,17392,455,15553.24,26,4,1,223616.74,0.026161,598.2,15553.24,14.378
2025-03-01|CP0005|CH006|P013|MK009|PR046|CT0657,2025-03-01 00:00:00,EUR,46651,1330,47785.68,58,9,3,771065.19,0.02851,823.89,15928.56,16.136
2025-05-01|CP0005|CH006|P013|MK009|PR046|CT0849,2025-05-01 00:00:00,USD,66474,1873,65458.77,97,15,4,1148025.17,0.028176,674.83,16364.69,17.538
2025-05-01|CP0005|CH001|P013|MK009|PR046|CT0763,2025-05-01 00:00:00,EUR,259287,5287,185254.75,74,12,4,1227869.7,0.020391,2503.44,46313.69,6.628
2024-10-01|CP0006|CH006|P037|MK012|PR014|CT0133,2024-10-01 00:00:00,EUR,84059,2841,110163.41,168,28,9,2108995.37,0.033798,655.73,12240.38,19.144
2024-10-01|CP0006|CH007|P037|MK012|PR014|CT0133,2024-10-01 00:00:00,USD,4119,489,21259.27,162,24,7,1812224.5,0.118718,131.23,3037.04,85.244
2025-01-01|CP0006|CH007|P037|MK012|PR014|CT0133,2025-01-01 00:00:00,USD,633,78,2935.67,21,3,1,178162.71,0.123223,139.79,2935.67,60.689
2025-01-01|CP0006|CH006|P037|MK012|PR014|CT0133,2025-01-01 00:00:00,USD,61473,1878,74786.28,121,20,6,1345489.21,0.03055,618.07,12464.38,17.991
2025-02-01|CP0007|CH008|P053|MK001|PR068|CT0154,2025-02-01 00:00:00,INR,18748,796,19349.51,53,7,1,261496.59,0.042458,365.09,19349.51,13.514
2025-03-01|CP0007|CH008|P053|MK001|PR068|CT0791,2025-03-01 00:00:00,INR,36175,1669,40040.76,89,11,2,438167.69,0.046137,449.9,20020.38,10.943
2025-04-01|CP0007|CH008|P053|MK001|PR068|CT0791,2025-04-01 00:00:00,INR,34230,1126,23549.95,57,7,1,216000.57,0.032895,413.16,23549.95,9.172
2025-01-01|CP0008|CH002|P016|MK012|PR074|CT0764,2025-01-01 00:00:00,EUR,201999,1358,60549.64,12,2,1,146927.73,0.006723,5045.8,60549.64,2.427
2025-03-01|CP0008|CH002|P016|MK012|PR074|CT0764,2025-03-01 00:00:00,EUR,71181,751,31507.56,6,1,0,0.0,0.010551,5251.26,0.0,0.0
2025-04-01|CP0008|CH002|P016|MK012|PR074|CT0254,2025-04-01 00:00:00,USD,129806,960,44042.41,9,2,1,194219.07,0.007396,4893.6,44042.41,4.41
2024-04-01|CP0009|CH004|P036|MK010|PR034|CT0389,2024-04-01 00:00:00,USD,32367,1314,40577.83,64,10,2,319828.84,0.040597,634.03,20288.92,7.882
